car,1831,473,82,85
car,1742,387,62,54
car,742,706,184,129
car,1768,428,79,59
car,331,750,218,145
car,1384,462,91,75
van,1186,933,130,217
van,1958,580,122,109
pedestrian,970,918,50,109
pedestrian,909,925,46,102
pedestrian,381,646,45,94
pedestrian,1289,882,45,100
pedestrian,2582,929,44,114
tricycle,766,387,141,109
pedestrian,459,642,38,80
pedestrian,1005,947,52,113
tricycle,2086,665,123,128
van,1486,761,141,154
pedestrian,131,783,47,100
pedestrian,1351,952,43,109
pedestrian,2341,825,49,77
people,776,904,48,91
pedestrian,2138,775,38,102
motor,1803,592,44,55
pedestrian,984,931,53,111
people,1808,579,34,59
people,2265,868,46,76
people,2470,943,54,109
car,1959,580,121,110
pedestrian,2175,797,43,96
pedestrian,289,766,41,89
car,1488,760,140,141
truck,560,448,267,254
